userId,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
user88,,87.0,11.0,,63.0,44.0,52.0,65.0,50.0,64.0
user89,67.0,48.0,11.0,99.0,,89.0,,85.0,8.0,
user90,30.0,51.0,44.0,89.0,,,30.0,,50.0,
user91,80.0,72.0,,76.0,55.0,,61.0,,,27.0
user92,70.0,62.0,57.0,,91.0,,36.0,86.0,38.0,72.0
user93,88.0,90.0,24.0,75.0,,77.0,,24.0,,53.0
user94,64.0,97.0,53.0,16.0,,81.0,99.0,,92.0,44.0
user95,94.0,67.0,93.0,2.0,4.0,71.0,50.0,67.0,,81.0
user96,77.0,83.0,,,85.0,,28.0,94.0,46.0,3.0
user97,74.0,75.0,96.0,21.0,47.0,37.0,4.0,22.0,87.0,38.0
user98,52.0,96.0,5.0,,78.0,27.0,19.0,61.0,86.0,71.0
user99,,,,30.0,59.0,9.0,98.0,33.0,28.0,54.0
user100,1.0,7.0,86.0,29.0,8.0,88.0,12.0,88.0,,
user101,24.0,72.0,7.0,8.0,22.0,56.0,,,76.0,
user102,85.0,83.0,28.0,38.0,19.0,35.0,38.0,66.0,56.0,4.0
user103,44.0,43.0,74.0,63.0,41.0,72.0,59.0,,21.0,31.0
user104,13.0,100.0,86.0,60.0,54.0,19.0,,,100.0,
user105,,,78.0,1.0,,78.0,,99.0,,80.0
user106,,4.0,,97.0,29.0,32.0,92.0,23.0,,39.0
user107,46.0,43.0,,22.0,87.0,53.0,57.0,25.0,54.0,21.0
user108,45.0,,18.0,50.0,89.0,6.0,,78.0,93.0,61.0
user109,60.0,70.0,5.0,48.0,88.0,79.0,74.0,73.0,91.0,
user110,22.0,40.0,66.0,46.0,40.0,18.0,43.0,,22.0,35.0
user111,63.0,89.0,31.0,40.0,61.0,45.0,61.0,93.0,9.0,
user112,24.0,18.0,,95.0,,39.0,2.0,45.0,9.0,
user113,54.0,68.0,,1.0,22.0,29.0,21.0,63.0,46.0,92.0
user114,73.0,1.0,,17.0,11.0,26.0,58.0,24.0,84.0,87.0
user115,95.0,68.0,18.0,40.0,,,27.0,45.0,22.0,
user116,86.0,55.0,100.0,21.0,,,75.0,95.0,,
user117,6.0,,50.0,28.0,64.0,31.0,97.0,40.0,85.0,84.0
user118,,21.0,,,,44.0,77.0,11.0,8.0,65.0
user119,,3.0,,54.0,18.0,59.0,44.0,1.0,,97.0
user120,90.0,71.0,,84.0,95.0,98.0,44.0,44.0,,84.0
user121,3.0,26.0,14.0,61.0,74.0,82.0,93.0,,86.0,
user122,75.0,62.0,,92.0,25.0,42.0,,77.0,59.0,42.0
user123,68.0,24.0,,51.0,39.0,,,3.0,17.0,13.0
user124,,14.0,44.0,82.0,70.0,,27.0,,28.0,
user125,,58.0,8.0,39.0,77.0,40.0,,22.0,79.0,56.0
user126,,85.0,60.0,10.0,36.0,88.0,35.0,6.0,80.0,
user127,86.0,37.0,84.0,73.0,62.0,,90.0,21.0,41.0,35.0
user128,16.0,34.0,58.0,49.0,29.0,52.0,,73.0,,47.0
user129,30.0,10.0,21.0,98.0,,39.0,98.0,,,67.0
user130,47.0,3.0,82.0,19.0,1.0,80.0,,,,15.0
user131,,67.0,49.0,,31.0,89.0,67.0,,26.0,49.0
user132,67.0,,,99.0,20.0,87.0,87.0,18.0,93.0,68.0
user133,56.0,18.0,,34.0,5.0,56.0,43.0,,,7.0
user134,56.0,86.0,10.0,38.0,87.0,15.0,,23.0,,11.0
user135,81.0,16.0,,,99.0,,18.0,73.0,97.0,
user136,51.0,,,,12.0,31.0,93.0,74.0,,43.0
user137,41.0,51.0,83.0,,91.0,,42.0,13.0,59.0,13.0
user138,32.0,8.0,,,57.0,66.0,60.0,81.0,36.0,84.0
user139,83.0,35.0,12.0,99.0,23.0,61.0,6.0,,2.0,
user140,,94.0,53.0,22.0,44.0,,14.0,45.0,44.0,78.0
user141,34.0,10.0,34.0,,18.0,,53.0,13.0,88.0,51.0
user142,,5.0,,,55.0,49.0,30.0,,61.0,52.0
user143,35.0,28.0,72.0,24.0,30.0,45.0,97.0,38.0,17.0,64.0
user144,88.0,28.0,18.0,66.0,41.0,88.0,46.0,,14.0,21.0
user145,42.0,97.0,69.0,7.0,,85.0,96.0,32.0,31.0,27.0
user146,,,,86.0,70.0,,47.0,92.0,67.0,67.0
user147,40.0,,47.0,85.0,83.0,62.0,38.0,,12.0,81.0
user148,38.0,,35.0,19.0,85.0,91.0,21.0,,44.0,8.0
user149,26.0,35.0,,17.0,,42.0,,,,
user150,,,32.0,17.0,16.0,85.0,63.0,61.0,15.0,52.0
user151,,14.0,74.0,75.0,32.0,,100.0,,73.0,40.0
user152,22.0,,,19.0,24.0,,40.0,19.0,95.0,98.0
user153,,77.0,4.0,62.0,59.0,,30.0,18.0,73.0,
user154,43.0,76.0,40.0,35.0,,7.0,,,21.0,13.0
user155,13.0,10.0,72.0,54.0,47.0,49.0,25.0,100.0,87.0,25.0
user156,50.0,76.0,45.0,33.0,,92.0,,74.0,28.0,34.0
user157,,53.0,18.0,38.0,25.0,64.0,13.0,21.0,2.0,38.0
user158,55.0,7.0,,,88.0,,8.0,1.0,,15.0
user159,10.0,,48.0,33.0,,61.0,48.0,,73.0,55.0
user160,97.0,56.0,84.0,71.0,36.0,,,,,19.0
user161,14.0,24.0,69.0,9.0,71.0,32.0,78.0,98.0,28.0,56.0
user162,60.0,,,,25.0,22.0,81.0,,70.0,
user163,50.0,91.0,99.0,31.0,67.0,,,,32.0,33.0
user164,,7.0,,,1.0,17.0,66.0,86.0,32.0,67.0
user165,64.0,100.0,49.0,58.0,6.0,,55.0,87.0,,79.0
user166,,66.0,28.0,,94.0,80.0,,13.0,,
user167,41.0,,42.0,22.0,89.0,,16.0,99.0,6.0,40.0
user168,36.0,,92.0,12.0,46.0,81.0,,28.0,74.0,4.0
user169,27.0,,22.0,10.0,36.0,57.0,14.0,64.0,4.0,
user170,,4.0,76.0,89.0,22.0,92.0,,4.0,29.0,38.0
user171,,35.0,93.0,34.0,58.0,93.0,1.0,1.0,15.0,31.0
user172,,89.0,26.0,2.0,,43.0,,60.0,,21.0
user173,64.0,,5.0,49.0,16.0,89.0,27.0,41.0,,76.0
user174,46.0,72.0,45.0,,56.0,,76.0,35.0,,23.0
user175,99.0,49.0,75.0,92.0,29.0,57.0,35.0,28.0,99.0,10.0
user176,,50.0,,55.0,79.0,59.0,35.0,60.0,98.0,16.0
user177,59.0,97.0,28.0,45.0,50.0,1.0,90.0,,73.0,46.0
user178,38.0,40.0,18.0,25.0,64.0,,3.0,67.0,61.0,94.0
user179,98.0,32.0,63.0,44.0,,9.0,2.0,2.0,79.0,24.0
user180,21.0,100.0,96.0,11.0,4.0,66.0,,48.0,60.0,11.0
user181,13.0,11.0,56.0,81.0,5.0,,63.0,27.0,89.0,33.0
user182,26.0,63.0,14.0,88.0,,,93.0,98.0,,54.0
user183,7.0,11.0,78.0,3.0,80.0,81.0,66.0,98.0,45.0,57.0
user184,23.0,,83.0,43.0,8.0,85.0,9.0,79.0,18.0,
user185,,,91.0,,77.0,65.0,,44.0,39.0,21.0
user186,91.0,86.0,81.0,,14.0,33.0,80.0,3.0,30.0,60.0
user187,,72.0,95.0,54.0,44.0,,,92.0,4.0,75.0
user188,25.0,32.0,46.0,54.0,3.0,98.0,,18.0,,63.0
user189,,,91.0,44.0,,77.0,93.0,,48.0,30.0
user190,13.0,,73.0,15.0,,65.0,,68.0,21.0,53.0
user191,15.0,27.0,90.0,,74.0,46.0,82.0,,,43.0
user192,76.0,69.0,17.0,,,1.0,,11.0,,100.0
user193,35.0,63.0,17.0,58.0,95.0,62.0,60.0,17.0,84.0,90.0
user194,83.0,,63.0,,13.0,31.0,,53.0,28.0,2.0
user195,,72.0,,65.0,59.0,89.0,,70.0,,2.0
user196,65.0,20.0,100.0,,44.0,99.0,,,85.0,97.0
user197,4.0,42.0,83.0,,10.0,,12.0,27.0,67.0,92.0
user198,68.0,77.0,76.0,49.0,8.0,78.0,28.0,35.0,42.0,84.0
user199,98.0,,64.0,12.0,35.0,67.0,82.0,35.0,55.0,69.0
user200,55.0,96.0,69.0,35.0,82.0,71.0,31.0,74.0,48.0,95.0
user201,77.0,84.0,45.0,95.0,32.0,41.0,24.0,64.0,95.0,
user202,,7.0,88.0,49.0,63.0,51.0,18.0,75.0,,
user203,84.0,,,,44.0,79.0,79.0,60.0,47.0,34.0
user204,79.0,85.0,4.0,86.0,21.0,69.0,62.0,,7.0,
user205,35.0,38.0,,,39.0,23.0,81.0,,16.0,
user206,14.0,25.0,18.0,38.0,63.0,42.0,11.0,5.0,2.0,82.0
user207,81.0,65.0,32.0,39.0,93.0,53.0,94.0,,98.0,57.0
user208,42.0,96.0,78.0,67.0,56.0,90.0,82.0,,62.0,
user209,,41.0,52.0,,23.0,32.0,86.0,,19.0,86.0
user210,77.0,56.0,12.0,22.0,80.0,26.0,84.0,8.0,8.0,93.0
user211,70.0,64.0,,49.0,99.0,,,76.0,,18.0
user212,,63.0,44.0,95.0,60.0,87.0,,85.0,13.0,44.0
user213,47.0,41.0,,28.0,52.0,72.0,7.0,33.0,100.0,31.0
user214,28.0,73.0,64.0,40.0,54.0,35.0,24.0,62.0,44.0,97.0
user215,73.0,71.0,96.0,,47.0,70.0,87.0,35.0,6.0,
user216,53.0,,50.0,,,30.0,65.0,74.0,32.0,52.0
user217,72.0,58.0,84.0,96.0,49.0,,87.0,99.0,59.0,89.0
user218,99.0,,56.0,,80.0,20.0,6.0,59.0,45.0,1.0
user219,5.0,3.0,,92.0,11.0,95.0,24.0,98.0,69.0,
user220,4.0,96.0,74.0,11.0,,33.0,29.0,66.0,81.0,
user221,,,63.0,64.0,54.0,89.0,,7.0,30.0,11.0
user222,46.0,19.0,95.0,32.0,85.0,,,95.0,,51.0
user223,,89.0,,78.0,,30.0,36.0,,33.0,72.0
user224,,93.0,81.0,33.0,,28.0,74.0,89.0,5.0,10.0
user225,61.0,54.0,95.0,60.0,,23.0,,22.0,73.0,10.0
user226,30.0,76.0,36.0,96.0,70.0,54.0,,,,88.0
user227,21.0,,8.0,52.0,,11.0,6.0,21.0,57.0,20.0
user228,52.0,44.0,3.0,93.0,28.0,17.0,38.0,87.0,30.0,48.0
user229,35.0,56.0,94.0,,32.0,15.0,61.0,71.0,,9.0
user230,69.0,76.0,29.0,91.0,39.0,59.0,41.0,60.0,73.0,
user231,86.0,,43.0,11.0,62.0,28.0,26.0,,32.0,6.0
user232,63.0,,,,21.0,84.0,36.0,,81.0,60.0
user233,63.0,17.0,61.0,2.0,7.0,60.0,68.0,64.0,9.0,39.0
user234,29.0,,23.0,68.0,43.0,13.0,38.0,59.0,,
user235,77.0,51.0,,65.0,53.0,63.0,9.0,47.0,,24.0
user236,81.0,,51.0,96.0,43.0,43.0,,,60.0,81.0
user237,67.0,18.0,,,,3.0,56.0,61.0,92.0,99.0
user238,,45.0,,,,85.0,40.0,16.0,29.0,
user239,,49.0,83.0,12.0,56.0,42.0,,,51.0,82.0
user240,,62.0,40.0,38.0,40.0,38.0,96.0,16.0,55.0,
user241,72.0,,,,96.0,70.0,27.0,41.0,78.0,2.0
user242,92.0,100.0,,12.0,1.0,7.0,48.0,97.0,100.0,6.0
user243,94.0,15.0,31.0,56.0,75.0,,,,68.0,
user244,,,62.0,,20.0,,25.0,91.0,99.0,66.0
user245,67.0,47.0,90.0,67.0,47.0,40.0,74.0,78.0,,46.0
user246,3.0,94.0,32.0,,87.0,24.0,4.0,68.0,,40.0
user247,23.0,89.0,80.0,91.0,15.0,51.0,39.0,37.0,20.0,77.0
user248,71.0,,,,17.0,63.0,29.0,,1.0,41.0
user249,71.0,70.0,77.0,,18.0,76.0,,,,81.0
user250,18.0,99.0,2.0,97.0,20.0,56.0,68.0,,75.0,98.0
user251,45.0,,36.0,26.0,87.0,14.0,13.0,65.0,70.0,48.0
user252,81.0,24.0,,13.0,48.0,56.0,26.0,21.0,26.0,61.0
user253,65.0,56.0,,88.0,22.0,81.0,77.0,67.0,63.0,62.0
user254,37.0,62.0,86.0,38.0,75.0,74.0,88.0,39.0,16.0,38.0
user255,47.0,25.0,77.0,32.0,,70.0,34.0,,77.0,13.0
user256,6.0,84.0,,29.0,96.0,85.0,15.0,,50.0,32.0
user257,14.0,11.0,4.0,39.0,49.0,64.0,,56.0,79.0,37.0
user258,34.0,82.0,23.0,84.0,100.0,55.0,39.0,96.0,38.0,
user259,82.0,98.0,14.0,17.0,,18.0,98.0,44.0,89.0,81.0
user260,32.0,78.0,12.0,50.0,93.0,86.0,30.0,57.0,88.0,41.0
user261,61.0,75.0,39.0,4.0,,42.0,11.0,63.0,42.0,36.0
user262,42.0,50.0,21.0,93.0,61.0,,,55.0,47.0,13.0
user263,51.0,73.0,98.0,9.0,40.0,,51.0,42.0,70.0,77.0
user264,94.0,67.0,95.0,64.0,96.0,24.0,,84.0,49.0,2.0
user265,68.0,13.0,78.0,79.0,87.0,48.0,41.0,,68.0,2.0
user266,95.0,,7.0,65.0,13.0,,94.0,,18.0,89.0
user267,11.0,,84.0,31.0,,93.0,73.0,24.0,2.0,53.0
user268,61.0,66.0,85.0,,23.0,13.0,19.0,47.0,50.0,70.0
user269,78.0,44.0,38.0,15.0,61.0,63.0,73.0,56.0,59.0,13.0
user270,18.0,75.0,100.0,,31.0,57.0,42.0,63.0,2.0,
user271,17.0,78.0,66.0,35.0,18.0,27.0,,12.0,34.0,54.0
user272,,,12.0,51.0,73.0,87.0,52.0,14.0,31.0,15.0
user273,25.0,26.0,11.0,1.0,98.0,,,90.0,82.0,6.0
user274,49.0,24.0,70.0,,88.0,52.0,85.0,21.0,,56.0
user275,21.0,22.0,48.0,,58.0,,,,87.0,
user276,38.0,,43.0,,61.0,100.0,,46.0,,58.0
user277,58.0,4.0,45.0,13.0,,29.0,5.0,26.0,61.0,55.0
user278,,77.0,73.0,98.0,,68.0,75.0,32.0,88.0,
user279,51.0,70.0,,,,56.0,28.0,60.0,,63.0
user280,11.0,89.0,78.0,69.0,2.0,,35.0,,,
user281,7.0,81.0,,18.0,43.0,79.0,,,97.0,67.0
user282,,12.0,65.0,45.0,66.0,66.0,13.0,20.0,77.0,10.0
user283,65.0,5.0,100.0,18.0,91.0,21.0,31.0,95.0,33.0,79.0
user284,86.0,67.0,,85.0,85.0,,60.0,13.0,87.0,2.0
user285,55.0,48.0,64.0,21.0,99.0,52.0,97.0,5.0,3.0,84.0
user286,3.0,35.0,46.0,,79.0,38.0,27.0,73.0,26.0,
user287,30.0,,,13.0,3.0,22.0,39.0,34.0,73.0,5.0
user288,,39.0,63.0,78.0,71.0,,30.0,36.0,55.0,8.0
user289,61.0,,80.0,81.0,47.0,60.0,1.0,,,27.0
user290,21.0,,,96.0,,57.0,84.0,,38.0,99.0
user291,86.0,43.0,,40.0,12.0,97.0,16.0,5.0,,89.0
user292,78.0,,11.0,,79.0,,,75.0,36.0,6.0
user293,62.0,61.0,51.0,52.0,55.0,73.0,31.0,77.0,95.0,8.0
user294,51.0,32.0,23.0,,79.0,10.0,25.0,43.0,54.0,2.0
user295,43.0,58.0,,39.0,39.0,85.0,47.0,,72.0,83.0
user296,82.0,14.0,92.0,68.0,92.0,50.0,3.0,18.0,30.0,55.0
user297,44.0,49.0,45.0,52.0,77.0,91.0,54.0,34.0,17.0,3.0
user298,17.0,,,10.0,2.0,,49.0,,89.0,43.0
user299,10.0,2.0,99.0,11.0,,22.0,,3.0,93.0,98.0
user300,99.0,47.0,55.0,40.0,86.0,10.0,41.0,13.0,30.0,
user301,63.0,10.0,99.0,,74.0,99.0,,,80.0,
user302,50.0,74.0,5.0,7.0,93.0,,38.0,91.0,89.0,23.0
user303,11.0,19.0,88.0,,74.0,4.0,64.0,60.0,42.0,41.0
user304,4.0,,39.0,53.0,55.0,,84.0,73.0,59.0,
user305,,72.0,56.0,48.0,9.0,12.0,,82.0,70.0,
user306,55.0,55.0,,30.0,74.0,,99.0,,87.0,84.0
user307,47.0,86.0,70.0,,48.0,82.0,1.0,90.0,83.0,13.0
user308,7.0,59.0,84.0,6.0,65.0,33.0,71.0,,,72.0
user309,95.0,48.0,30.0,9.0,84.0,40.0,57.0,32.0,9.0,24.0
user310,94.0,,97.0,53.0,47.0,72.0,71.0,38.0,44.0,62.0
user311,60.0,50.0,,24.0,90.0,84.0,,54.0,41.0,40.0
user312,,10.0,15.0,51.0,33.0,78.0,27.0,,49.0,82.0
user313,60.0,48.0,30.0,63.0,89.0,,37.0,66.0,,66.0
user314,20.0,17.0,13.0,57.0,10.0,66.0,,42.0,74.0,
user315,25.0,45.0,50.0,,3.0,60.0,57.0,96.0,62.0,59.0
user316,40.0,4.0,94.0,12.0,,84.0,26.0,100.0,88.0,57.0
user317,56.0,73.0,8.0,,32.0,76.0,63.0,63.0,,8.0
user318,,67.0,57.0,50.0,55.0,72.0,,,69.0,48.0
user319,,46.0,50.0,45.0,77.0,,48.0,89.0,,90.0
user320,,18.0,21.0,67.0,25.0,26.0,14.0,9.0,16.0,83.0
user321,38.0,43.0,,,8.0,40.0,71.0,62.0,7.0,23.0
user322,,92.0,,60.0,,39.0,,57.0,,
user323,13.0,28.0,58.0,67.0,60.0,92.0,48.0,5.0,78.0,98.0
user324,5.0,96.0,25.0,,10.0,,,98.0,59.0,
user325,26.0,92.0,94.0,64.0,17.0,76.0,,,,36.0
user326,10.0,97.0,,43.0,,28.0,95.0,2.0,72.0,
user327,92.0,60.0,32.0,,24.0,6.0,42.0,88.0,94.0,71.0
user328,94.0,17.0,64.0,39.0,,56.0,62.0,46.0,76.0,
user329,39.0,46.0,,10.0,,31.0,60.0,10.0,36.0,33.0
user330,,38.0,,53.0,,8.0,32.0,45.0,100.0,88.0
user331,3.0,64.0,40.0,82.0,90.0,48.0,6.0,64.0,10.0,10.0
user332,,55.0,96.0,47.0,89.0,,,9.0,13.0,
user333,,25.0,,78.0,42.0,4.0,,75.0,84.0,54.0
user334,34.0,31.0,92.0,,16.0,77.0,76.0,32.0,49.0,52.0
user335,,,,,13.0,65.0,5.0,32.0,38.0,4.0
user336,69.0,14.0,,49.0,35.0,,,4.0,,69.0
user337,17.0,95.0,48.0,5.0,14.0,,,76.0,60.0,40.0
user338,66.0,62.0,92.0,89.0,19.0,24.0,20.0,2.0,24.0,81.0
user339,3.0,,50.0,,,31.0,88.0,24.0,,79.0
user340,88.0,53.0,84.0,26.0,81.0,47.0,70.0,41.0,42.0,70.0
user341,16.0,3.0,95.0,65.0,41.0,58.0,,21.0,69.0,30.0
user342,56.0,1.0,50.0,85.0,34.0,90.0,36.0,60.0,88.0,
user343,45.0,23.0,4.0,89.0,54.0,49.0,96.0,,,53.0
user344,63.0,53.0,91.0,64.0,68.0,85.0,41.0,,82.0,82.0
user345,41.0,33.0,1.0,30.0,39.0,41.0,1.0,89.0,37.0,
user346,77.0,,23.0,91.0,48.0,49.0,28.0,98.0,,83.0
user347,49.0,26.0,,,81.0,24.0,,6.0,60.0,100.0
user348,66.0,5.0,35.0,13.0,44.0,80.0,48.0,14.0,,17.0
user349,,,58.0,,30.0,98.0,,1.0,36.0,4.0
user350,,95.0,52.0,22.0,,51.0,21.0,36.0,56.0,8.0
user351,,13.0,52.0,,41.0,1.0,71.0,1.0,,9.0
user352,18.0,,23.0,65.0,60.0,,93.0,,,21.0
user353,3.0,22.0,17.0,61.0,94.0,54.0,29.0,63.0,16.0,82.0
user354,25.0,11.0,44.0,84.0,27.0,71.0,75.0,6.0,,28.0
user355,90.0,93.0,53.0,,1.0,25.0,38.0,65.0,44.0,68.0
user356,3.0,,12.0,2.0,49.0,11.0,17.0,10.0,9.0,64.0
user357,35.0,72.0,94.0,61.0,,48.0,14.0,98.0,95.0,77.0
user358,16.0,96.0,,29.0,,28.0,,75.0,46.0,36.0
user359,90.0,96.0,51.0,18.0,52.0,5.0,69.0,57.0,47.0,63.0
user360,61.0,,,31.0,,77.0,,37.0,,13.0
user361,10.0,43.0,56.0,87.0,82.0,2.0,56.0,66.0,83.0,
user362,92.0,90.0,,62.0,7.0,,,75.0,57.0,76.0
user363,16.0,34.0,95.0,27.0,,8.0,15.0,32.0,,84.0
user364,51.0,20.0,93.0,86.0,70.0,,35.0,21.0,28.0,96.0
user365,50.0,,,11.0,25.0,,4.0,19.0,,94.0
user366,25.0,42.0,24.0,35.0,94.0,65.0,57.0,89.0,4.0,26.0
user367,85.0,10.0,41.0,61.0,39.0,99.0,6.0,46.0,,18.0
user368,10.0,10.0,27.0,18.0,91.0,40.0,,85.0,94.0,
user369,,22.0,98.0,34.0,46.0,63.0,54.0,,,11.0
user370,85.0,19.0,29.0,42.0,52.0,15.0,99.0,,86.0,69.0
user371,93.0,81.0,,27.0,70.0,78.0,81.0,,7.0,69.0
user372,99.0,24.0,15.0,,23.0,,86.0,,7.0,65.0
user373,,78.0,,52.0,43.0,92.0,78.0,70.0,,65.0
user374,8.0,82.0,,11.0,96.0,13.0,43.0,3.0,63.0,41.0
user375,60.0,55.0,,,12.0,94.0,19.0,58.0,,28.0
user376,25.0,61.0,75.0,15.0,4.0,33.0,,88.0,51.0,
user377,6.0,65.0,,15.0,85.0,,,7.0,49.0,64.0
user378,,45.0,36.0,22.0,86.0,97.0,,68.0,22.0,79.0
user379,,68.0,,20.0,52.0,30.0,81.0,48.0,66.0,8.0
